ID,Author,Title,Date,Gazette,,,,
1,Emre Kongar,Sumsare: Rüşvet ve hırsızlık üzerine,5.12.2017,Cumhuriyet Newspaper,,,,
3,MEHMED ŞEVKET EYGİ,Haysiyetli ve Vasıflı Müslüman Olmak İçin,5.12.2017,National Newspaper,,,,
4,Güray Öz,‘Vay Peşlerine mi Takıldın!’,6.12.2017,Cumhuriyet Newspaper,,,,
5,Güray Öz,‘Pelikan Yayıncılığı’ İşe Yarar mı?,4.12.2017,Cumhuriyet Newspaper,,,,
6,Güray Öz,Akademi Direniyor,3.12.2017,Cumhuriyet Newspaper,,,,
7,Güray Öz,Gerçeğin Aynasıdır Hayal,1.12.2017,Cumhuriyet Newspaper,,,,
8,Güray Öz,Memleket Meselesi,29.11.2017,Cumhuriyet Newspaper,,,,
9,Güray Öz,Okurlarla Daha Yakın İlişki,27.11.2017,Cumhuriyet Newspaper,,,,
10,Güray Öz,Yalnızca Bir Semt Adıdır,26.11.2017,Cumhuriyet Newspaper,,,,
11,Güray Öz,Şu İktidar Meselesi,24.11.2017,Cumhuriyet Newspaper,,,,
12,Güray Öz,Tehlikeler, Tehditler, Olanaklar,22.11.2017,Cumhuriyet Newspaper,,
13,Güray Öz,Gazetenin, Gazetecinin Dili,20.11.2017,Cumhuriyet Newspaper,,,
14,Özgür Mumcu,Memleketi zayıflatanlar,6.12.2017,Cumhuriyet Newspaper,,,,
15,Özgür Mumcu,Erdoğan aşkı,2.12.2017,Cumhuriyet Newspaper,,,,
16,Özgür Mumcu,Bu milli bir meseledir,30.11.2017,Cumhuriyet Newspaper,,,,
17,Özgür Mumcu,Aile şirketi,29.11.2017,Cumhuriyet Newspaper,,,,
18,Özgür Mumcu,Hep beraber gerilerken,16.11.2017,Cumhuriyet Newspaper,,,,
19,Özgür Mumcu,Bahçeli’nin barajı,15.11.2017,Cumhuriyet Newspaper,,,,
20,Özgür Mumcu,OHAL’de seçim,11.11.2017,Cumhuriyet Newspaper,,,,
21,Özgür Mumcu,Kutlanacak iş,9.11.2017,Cumhuriyet Newspaper,,,,
